,state,p1_curr_subtask
80182,"Players: ((5, 2) facing (0, -1) holding dish@(5, 2), (3, 3) facing (1, 0) holding onion@(3, 3)), Objects: [soup@(7, 0)
Ingredients:	[onion@(7, 0), onion@(7, 0), onion@(7, 0)]
Cooking Tick:	20, soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	16, dish@(8, 2), soup@(4, 3)
Ingredients:	[onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",6
80183,"Players: ((5, 2) facing (-1, 0) holding dish@(5, 2), (3, 3) facing (1, 0) holding onion@(3, 3)), Objects: [soup@(7, 0)
Ingredients:	[onion@(7, 0), onion@(7, 0), onion@(7, 0)]
Cooking Tick:	20, soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	17, dish@(8, 2), soup@(4, 3)
Ingredients:	[onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",6
80184,"Players: ((5, 2) facing (-1, 0) holding dish@(5, 2), (3, 3) facing (1, 0) holding None), Objects: [soup@(7, 0)
Ingredients:	[onion@(7, 0), onion@(7, 0), onion@(7, 0)]
Cooking Tick:	20, soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	18, dish@(8, 2), soup@(4, 3)
Ingredients:	[onion@(4, 3), onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",6
80185,"Players: ((5, 2) facing (-1, 0) holding dish@(5, 2), (2, 3) facing (-1, 0) holding None), Objects: [soup@(7, 0)
Ingredients:	[onion@(7, 0), onion@(7, 0), onion@(7, 0)]
Cooking Tick:	20, soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	19, dish@(8, 2), soup@(4, 3)
Ingredients:	[onion@(4, 3), onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",6
80186,"Players: ((5, 2) facing (-1, 0) holding dish@(5, 2), (2, 3) facing (-1, 0) holding None), Objects: [soup@(7, 0)
Ingredients:	[onion@(7, 0), onion@(7, 0), onion@(7, 0)]
Cooking Tick:	20, soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	20, dish@(8, 2), soup@(4, 3)
Ingredients:	[onion@(4, 3), onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",6
80187,"Players: ((5, 2) facing (-1, 0) holding dish@(5, 2), (1, 3) facing (-1, 0) holding None), Objects: [soup@(7, 0)
Ingredients:	[onion@(7, 0), onion@(7, 0), onion@(7, 0)]
Cooking Tick:	20, soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	20, dish@(8, 2), soup@(4, 3)
Ingredients:	[onion@(4, 3), onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",6
80188,"Players: ((5, 2) facing (-1, 0) holding dish@(5, 2), (1, 3) facing (-1, 0) holding None), Objects: [soup@(7, 0)
Ingredients:	[onion@(7, 0), onion@(7, 0), onion@(7, 0)]
Cooking Tick:	20, soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	20, dish@(8, 2), soup@(4, 3)
Ingredients:	[onion@(4, 3), onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",6
80189,"Players: ((5, 2) facing (-1, 0) holding dish@(5, 2), (1, 2) facing (0, -1) holding None), Objects: [soup@(7, 0)
Ingredients:	[onion@(7, 0), onion@(7, 0), onion@(7, 0)]
Cooking Tick:	20, soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	20, dish@(8, 2), soup@(4, 3)
Ingredients:	[onion@(4, 3), onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",6
80190,"Players: ((5, 2) facing (-1, 0) holding dish@(5, 2), (1, 2) facing (0, -1) holding None), Objects: [soup@(7, 0)
Ingredients:	[onion@(7, 0), onion@(7, 0), onion@(7, 0)]
Cooking Tick:	20, soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	20, dish@(8, 2), soup@(4, 3)
Ingredients:	[onion@(4, 3), onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",6
80191,"Players: ((5, 2) facing (-1, 0) holding dish@(5, 2), (1, 1) facing (0, -1) holding None), Objects: [soup@(7, 0)
Ingredients:	[onion@(7, 0), onion@(7, 0), onion@(7, 0)]
Cooking Tick:	20, soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	20, dish@(8, 2), soup@(4, 3)
Ingredients:	[onion@(4, 3), onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",6
80192,"Players: ((5, 2) facing (-1, 0) holding dish@(5, 2), (1, 1) facing (0, -1) holding None), Objects: [soup@(7, 0)
Ingredients:	[onion@(7, 0), onion@(7, 0), onion@(7, 0)]
Cooking Tick:	20, soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	20, dish@(8, 2), soup@(4, 3)
Ingredients:	[onion@(4, 3), onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",6
80193,"Players: ((5, 2) facing (-1, 0) holding dish@(5, 2), (1, 1) facing (-1, 0) holding None), Objects: [soup@(7, 0)
Ingredients:	[onion@(7, 0), onion@(7, 0), onion@(7, 0)]
Cooking Tick:	20, soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	20, dish@(8, 2), soup@(4, 3)
Ingredients:	[onion@(4, 3), onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",6
80194,"Players: ((5, 2) facing (-1, 0) holding dish@(5, 2), (1, 1) facing (-1, 0) holding onion@(1, 1)), Objects: [soup@(7, 0)
Ingredients:	[onion@(7, 0), onion@(7, 0), onion@(7, 0)]
Cooking Tick:	20, soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	20, dish@(8, 2), soup@(4, 3)
Ingredients:	[onion@(4, 3), onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",6
80195,"Players: ((6, 2) facing (1, 0) holding dish@(6, 2), (1, 2) facing (0, 1) holding onion@(1, 2)), Objects: [soup@(7, 0)
Ingredients:	[onion@(7, 0), onion@(7, 0), onion@(7, 0)]
Cooking Tick:	20, soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	20, dish@(8, 2), soup@(4, 3)
Ingredients:	[onion@(4, 3), onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",6
80196,"Players: ((6, 2) facing (1, 0) holding dish@(6, 2), (1, 3) facing (0, 1) holding onion@(1, 3)), Objects: [soup@(7, 0)
Ingredients:	[onion@(7, 0), onion@(7, 0), onion@(7, 0)]
Cooking Tick:	20, soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	20, dish@(8, 2), soup@(4, 3)
Ingredients:	[onion@(4, 3), onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",6
80197,"Players: ((6, 2) facing (1, 0) holding dish@(6, 2), (1, 3) facing (0, 1) holding onion@(1, 3)), Objects: [soup@(7, 0)
Ingredients:	[onion@(7, 0), onion@(7, 0), onion@(7, 0)]
Cooking Tick:	20, soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	20, dish@(8, 2), soup@(4, 3)
Ingredients:	[onion@(4, 3), onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",6
80198,"Players: ((7, 2) facing (1, 0) holding dish@(7, 2), (2, 3) facing (1, 0) holding onion@(2, 3)), Objects: [soup@(7, 0)
Ingredients:	[onion@(7, 0), onion@(7, 0), onion@(7, 0)]
Cooking Tick:	20, soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	20, dish@(8, 2), soup@(4, 3)
Ingredients:	[onion@(4, 3), onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",6
